,moods_states,features
iso29,"[[25], [19]]",[null]
iso16,"[[21], [3], [13]]","[[0.969, 0.388, 0.0859, 7.35e-05, 7, 0.108, -16.061, 0, 0.0472, 88.253, 0.19], [0.978, 0.367, 0.111, 3.97e-05, 4, 0.0897, -14.084, 1, 0.0972, 82.642, 0.198], [0.966, 0.513, 0.183, 0, 2, 0.327, -10.249, 1, 0.0407, 107.18, 0.266], [0.398, 0.668, 0.547, 0.0766, 1, 0.0931, -8.024, 1, 0.0353, 83.5, 0.192], [0.853, 0.794, 0.32, 0.134, 1, 0.112, -12.92, 0, 0.173, 174.088, 0.241], [0.0863, 0.801, 0.589, 0, 7, 0.162, -5.157, 1, 0.0485, 116.934, 0.58], [0.196, 0.673, 0.704, 0, 6, 0.0898, -8.056, 1, 0.36, 86.919, 0.372], [0.125, 0.708, 0.637, 0, 4, 0.129, -5.795, 1, 0.0833, 104.118, 0.862], [0.00502, 0.551, 0.836, 2.1e-05, 10, 0.0425, -3.838, 0, 0.0524, 185.063, 0.758], [0.0615, 0.647, 0.853, 0, 8, 0.062, -4.516, 1, 0.0904, 103.846, 0.618]]"
iso12,"[[2], [1], [24]]","[[0.186, 0.548, 0.532, 0.000263, 5, 0.217, -7.596, 1, 0.0323, 85.03, 0.405], [0.283, 0.726, 0.444, 0.143, 8, 0.177, -8.922, 0, 0.372, 185.044, 0.569], [0.192, 0.695, 0.762, 0.00244, 0, 0.0863, -3.497, 1, 0.0395, 120.042, 0.553], [0.223, 0.815, 0.518, 0, 7, 0.104, -6.594, 0, 0.0897, 151.891, 0.877], [0.395, 0.575, 0.714, 0, 6, 0.115, -5.247, 1, 0.0596, 144.982, 0.32], [0.201, 0.818, 0.623, 0, 9, 0.112, -5.901, 0, 0.043, 120.104, 0.968], [0.297, 0.782, 0.512, 3.24e-05, 4, 0.0979, -8.103, 1, 0.0324, 94.98, 0.658], [0.135, 0.569, 0.86, 0, 9, 0.153, -4.116, 1, 0.043, 90.937, 0.289], [0.808, 0.524, 0.364, 0, 7, 0.1, -10.209, 1, 0.0367, 75.24, 0.436], [0.653, 0.386, 0.205, 0.0448, 4, 0.106, -16.699, 1, 0.0366, 172.373, 0.623]]"
iso14,"[[8], [7], [20]]","[[0.262, 0.696, 0.686, 0, 5, 0.174, -6.113, 0, 0.0309, 115.982, 0.7], [0.0372, 0.697, 0.683, 0, 1, 0.137, -2.881, 0, 0.117, 96.133, 0.603], [0.0336, 0.756, 0.851, 0, 2, 0.126, -3.33, 1, 0.0674, 75.014, 0.934], [0.0561, 0.695, 0.884, 0, 6, 0.213, -2.278, 0, 0.0753, 103.014, 0.914], [0.485, 0.534, 0.542, 0, 4, 0.353, -6.075, 1, 0.0569, 126.011, 0.532], [0.411, 0.847, 0.386, 0.00176, 9, 0.108, -10.668, 0, 0.0507, 104.001, 0.178], [0.864, 0.528, 0.273, 0.00617, 0, 0.111, -16.623, 1, 0.132, 98.311, 0.158], [0.963, 0.622, 0.246, 0.363, 6, 0.102, -17.574, 0, 0.0339, 122.986, 0.176], [0.967, 0.596, 0.261, 0.00454, 7, 0.112, -13.778, 1, 0.0335, 125.329, 0.62], [0.832, 0.642, 0.15, 0, 0, 0.126, -11.316, 1, 0.0351, 104.978, 0.27]]"
iso27,"[[10], [25]]",[null]
iso25,"[[21], [25]]",[null]
iso24,"[[21], [10]]",[null]
iso20,"[[4], [15], [20]]","[[0.948, 0.571, 0.0274, 6.43e-06, 9, 0.322, -20.274, 0, 0.0649, 124.209, 0.087], [0.88, 0.512, 0.255, 0.532, 0, 0.146, -15.867, 1, 0.0291, 115.144, 0.215], [0.915, 0.456, 0.113, 0.0011, 2, 0.0959, -15.763, 0, 0.0334, 108.536, 0.327], [0.969, 0.545, 0.366, 0.267, 2, 0.641, -9.51, 1, 0.0378, 86.997, 0.1], [0.528, 0.408, 0.363, 0.0538, 2, 0.0868, -13.949, 1, 0.0284, 131.249, 0.212], [0.828, 0.504, 0.235, 0.00719, 5, 0.127, -16.55, 1, 0.0271, 139.833, 0.231], [0.744, 0.569, 0.291, 0, 0, 0.137, -14.509, 1, 0.043, 151.659, 0.313], [0.975, 0.462, 0.203, 0.113, 10, 0.102, -16.313, 1, 0.0355, 153.716, 0.437], [0.0833, 0.646, 0.839, 0, 2, 0.315, -8.178, 1, 0.0332, 109.854, 0.834], [0.805, 0.457, 0.407, 0.884, 9, 0.126, -11.475, 1, 0.0308, 117.053, 0.126]]"
iso13,"[[18], [3], [8]]","[[0.932, 0.433, 0.329, 0.0474, 3, 0.1, -13.288, 1, 0.0343, 102.971, 0.264], [0.902, 0.704, 0.225, 0.657, 6, 0.106, -14.454, 0, 0.0994, 120.006, 0.243], [0.896, 0.61, 0.0316, 0.00461, 9, 0.108, -15.186, 1, 0.0486, 151.964, 0.37], [0.573, 0.803, 0.384, 0, 7, 0.194, -6.522, 1, 0.179, 141.926, 0.503], [0.195, 0.61, 0.788, 0.0142, 0, 0.153, -5.724, 1, 0.0585, 101.045, 0.472], [0.617, 0.676, 0.525, 0, 9, 0.356, -5.88, 1, 0.028, 112.011, 0.421], [0.875, 0.582, 0.272, 0, 2, 0.13, -5.662, 1, 0.0501, 205.846, 0.354], [0.139, 0.703, 0.657, 0, 4, 0.093, -5.363, 1, 0.0783, 82.96, 0.455], [0.0178, 0.672, 0.738, 6.75e-05, 0, 0.0927, -7.045, 1, 0.0506, 107.938, 0.392], [0.00801, 0.856, 0.609, 8.15e-05, 0, 0.0344, -7.223, 1, 0.0824, 114.988, 0.928]]"
iso21,"[[27], [10]]","[[0.942, 0.252, 0.314, 0.676, 5, 0.0892, -18.197, 0, 0.0407, 75.056, 0.2], [0.924, 0.517, 0.206, 0, 5, 0.118, -12.233, 1, 0.0421, 80.401, 0.489], [0.91, 0.574, 0.322, 0.519, 9, 0.0836, -12.41, 1, 0.0264, 81.603, 0.178], [0.827, 0.369, 0.403, 0.0541, 3, 0.106, -7.996, 1, 0.0259, 154.899, 0.177], [0.774, 0.652, 0.545, 0.0428, 1, 0.0847, -9.021, 1, 0.0358, 107.019, 0.626], [0.168, 0.661, 0.643, 0.0034, 0, 0.0966, -7.655, 1, 0.0319, 148.994, 0.36], [0.0599, 0.74, 0.642, 3.71e-05, 9, 0.802, -6.805, 1, 0.0291, 130.03, 0.591], [0.00575, 0.862, 0.4, 7.49e-06, 4, 0.123, -7.486, 1, 0.0736, 122.963, 0.596], [0.102, 0.644, 0.715, 0, 0, 0.0845, -6.132, 1, 0.0605, 160.051, 0.665], [0.691, 0.936, 0.353, 2.73e-05, 11, 0.133, -12.17, 1, 0.0458, 124.964, 0.863]]"
iso23,"[[27], [19]]","[[0.455, 0.674, 0.615, 0.00091, 0, 0.208, -8.188, 1, 0.147, 85.048, 0.756], [0.0462, 0.734, 0.637, 2.29e-05, 4, 0.0602, -5.677, 0, 0.141, 169.977, 0.648], [0.331, 0.68, 0.578, 0, 10, 0.135, -5.804, 1, 0.04, 145.038, 0.341], [0.3, 0.556, 0.661, 0, 6, 0.101, -5.052, 0, 0.204, 168.56, 0.668], [0.109, 0.775, 0.613, 2.33e-05, 3, 0.134, -4.586, 0, 0.0542, 100.066, 0.797], [0.0215, 0.65, 0.825, 2.44e-05, 0, 0.0936, -4.645, 1, 0.0325, 118.091, 0.593], [0.0242, 0.706, 0.643, 0, 11, 0.262, -6.929, 0, 0.234, 143.931, 0.885], [0.223, 0.858, 0.568, 0, 11, 0.122, -5.623, 0, 0.217, 101.02, 0.757], [0.0561, 0.648, 0.785, 0, 7, 0.148, -5.414, 1, 0.165, 160.02, 0.943], [0.00487, 0.554, 0.772, 6.6e-06, 7, 0.354, -4.821, 0, 0.0418, 179.984, 0.455]]"
iso19,"[[16], [25], [0]]","[[0.985, 0.653, 0.178, 0.000339, 9, 0.134, -13.47, 0, 0.0312, 99.103, 0.225], [0.769, 0.298, 0.151, 0.00602, 8, 0.105, -14.479, 0, 0.0341, 158.407, 0.139], [0.887, 0.637, 0.129, 0, 11, 0.0719, -17.082, 1, 0.0346, 125.802, 0.298], [0.927, 0.698, 0.285, 0, 0, 0.0883, -7.632, 1, 0.0553, 135.027, 0.53], [0.763, 0.713, 0.475, 0, 11, 0.395, -7.782, 1, 0.315, 71.021, 0.418], [0.299, 0.364, 0.478, 0.0015, 7, 0.124, -8.645, 1, 0.0473, 134.551, 0.493], [0.605, 0.661, 0.29, 0.0096, 9, 0.0629, -14.568, 1, 0.0453, 151.887, 0.13], [0.771, 0.426, 0.408, 7.88e-06, 3, 0.394, -9.419, 1, 0.0524, 76.309, 0.528], [0.00889, 0.792, 0.538, 0.88, 11, 0.107, -9.105, 1, 0.0416, 123.497, 0.9], [0.264, 0.752, 0.65, 1.38e-06, 4, 0.313, -6.194, 1, 0.0334, 141.16, 0.904]]"
iso28,"[[10], [19]]",[null]
iso15,"[[26], [13], [8]]","[[0.982, 0.532, 0.137, 0.962, 9, 0.112, -18.208, 1, 0.0717, 118.734, 0.301], [0.917, 0.8, 0.128, 0.1, 7, 0.111, -19.818, 1, 0.0428, 108.074, 0.56], [0.0905, 0.707, 0.238, 2.42e-06, 3, 0.0842, -8.818, 1, 0.0379, 124.156, 0.345], [0.802, 0.737, 0.408, 0, 5, 0.171, -7.941, 1, 0.104, 127.921, 0.374], [0.00103, 0.665, 0.712, 0.00333, 1, 0.102, -7.536, 1, 0.0527, 93.992, 0.669], [0.00575, 0.862, 0.4, 7.49e-06, 4, 0.123, -7.486, 1, 0.0736, 122.963, 0.596], [0.033, 0.61, 0.83, 0, 0, 0.118, -4.105, 1, 0.0571, 182.162, 0.728], [0.125, 0.682, 0.74, 1.46e-05, 4, 0.523, -4.848, 1, 0.114, 165.025, 0.73], [0.0765, 0.774, 0.641, 0, 1, 0.0867, -10.193, 1, 0.0799, 113.256, 0.875], [0.034, 0.818, 0.803, 0, 1, 0.153, -4.282, 1, 0.0797, 106.97, 0.632]]"
iso22,"[[27], [25]]",[null]
iso17,"[[22], [3], [8]]","[[0.755, 0.479, 0.154, 0.0261, 2, 0.11, -15.051, 1, 0.0369, 92.457, 0.232], [0.94, 0.365, 0.273, 0.431, 4, 0.109, -16.526, 0, 0.038, 132.285, 0.238], [0.593, 0.93, 0.611, 0.00124, 0, 0.0592, -4.406, 1, 0.0415, 112.127, 0.695], [0.699, 0.682, 0.363, 3e-05, 2, 0.363, -10.837, 1, 0.0261, 94.978, 0.203], [0.281, 0.516, 0.456, 1.27e-05, 9, 0.0847, -9.242, 1, 0.0397, 145.843, 0.238], [0.105, 0.731, 0.572, 0.00012, 6, 0.133, -7.889, 0, 0.0445, 154.038, 0.947], [0.0427, 0.842, 0.734, 0, 1, 0.106, -5.065, 0, 0.0588, 137.958, 0.952], [0.0401, 0.445, 0.643, 0, 11, 0.0818, -7.473, 0, 0.121, 88.204, 0.513], [0.146, 0.817, 0.509, 2.53e-05, 0, 0.111, -4.17, 1, 0.0839, 99.988, 0.77], [0.0359, 0.688, 0.678, 0, 8, 0.0331, -3.903, 1, 0.0348, 120.058, 0.909]]"
iso18,"[[12], [15], [24]]","[[0.124, 0.585, 0.52, 7.01e-05, 5, 0.131, -6.136, 0, 0.0712, 159.801, 0.129], [0.0189, 0.655, 0.632, 0, 2, 0.0722, -4.802, 1, 0.0489, 120.113, 0.447], [0.519, 0.825, 0.678, 0, 4, 0.115, -5.401, 1, 0.0461, 134.12, 0.43], [0.211, 0.845, 0.561, 3.49e-06, 1, 0.0383, -5.253, 0, 0.0778, 109.974, 0.811], [0.113, 0.767, 0.766, 0, 2, 0.271, -3.317, 1, 0.0771, 126.049, 0.432], [0.901, 0.715, 0.237, 1.47e-06, 0, 0.186, -13.42, 1, 0.0849, 114.908, 0.375], [0.106, 0.166, 0.298, 0.206, 3, 0.572, -12.439, 1, 0.032, 78.437, 0.207], [0.969, 0.549, 0.0889, 0.0174, 2, 0.0628, -19.728, 1, 0.04, 75.62, 0.308], [0.855, 0.378, 0.0893, 0.00192, 6, 0.165, -21.688, 1, 0.0652, 79.021, 0.142], [0.956, 0.217, 0.156, 0.00824, 6, 0.119, -15.459, 1, 0.0337, 76.005, 0.149]]"
iso09,"[[21], [10]]","[[0.778, 0.407, 0.308, 1.46e-05, 10, 0.092, -9.001, 0, 0.0296, 73.254, 0.153], [0.164, 0.209, 0.417, 0.00196, 3, 0.113, -8.74, 1, 0.0338, 138.178, 0.124], [0.981, 0.402, 0.361, 0.853, 7, 0.0822, -10.758, 1, 0.0335, 78.948, 0.214], [0.994, 0.446, 0.0878, 0.885, 0, 0.074, -19.64, 1, 0.0351, 100.487, 0.148], [0.805, 0.398, 0.316, 0, 1, 0.295, -7.031, 1, 0.0368, 118.582, 0.174], [0.823, 0.425, 0.393, 5.27e-06, 2, 0.0257, -12.352, 1, 0.124, 112.196, 0.413], [0.316, 0.549, 0.705, 0, 9, 0.12, -5.563, 1, 0.0564, 146.024, 0.52], [0.533, 0.535, 0.548, 1.48e-06, 1, 0.123, -6.51, 1, 0.037, 115.144, 0.477], [0.0151, 0.693, 0.678, 5.71e-06, 8, 0.101, -7.159, 1, 0.0324, 103.952, 0.404], [0.271, 0.62, 0.573, 0, 0, 0.0607, -11.893, 1, 0.0423, 81.548, 0.897], [0.219, 0.647, 0.822, 0, 5, 0.0908, -4.662, 0, 0.183, 160.019, 0.962]]"
iso06,"[[21], [11]]","[[0.301, 0.529, 0.381, 0.00111, 7, 0.119, -11.053, 1, 0.0306, 128.001, 0.0712], [0.564, 0.621, 0.447, 0.000237, 7, 0.129, -8.028, 0, 0.0319, 133.293, 0.512], [0.868, 0.546, 0.193, 4.18e-05, 0, 0.087, -11.903, 1, 0.0426, 139.795, 0.311], [0.462, 0.555, 0.43, 0.000191, 2, 0.0869, -9.105, 1, 0.0295, 147.613, 0.274], [0.948, 0.563, 0.328, 1.28e-06, 0, 0.114, -6.873, 1, 0.061, 75.85, 0.265], [0.026, 0.479, 0.725, 0.000129, 2, 0.209, -4.671, 1, 0.0335, 101.938, 0.43], [0.0427, 0.556, 0.504, 0.000356, 9, 0.0582, -11.513, 1, 0.0293, 84.421, 0.616], [0.371, 0.659, 0.547, 1.94e-06, 9, 0.0961, -9.901, 1, 0.0235, 94.266, 0.694], [0.525, 0.812, 0.472, 0.0886, 10, 0.102, -9.03, 0, 0.0441, 121.956, 0.596], [0.00617, 0.545, 0.675, 0.00197, 6, 0.209, -6.474, 1, 0.0279, 124.97, 0.162]]"
iso26,"[[21], [19]]",[null]
iso08,"[[18], [5]]","[[0.251, 0.513, 0.767, 0.278, 7, 0.221, -8.386, 1, 0.0918, 51.803, 0.429], [0.149, 0.508, 0.7, 0, 1, 0.457, -10.941, 1, 0.0633, 83.942, 0.919], [0.811, 0.448, 0.656, 0.393, 5, 0.0991, -7.993, 0, 0.0295, 108.394, 0.796], [0.658, 0.468, 0.391, 0.0617, 2, 0.111, -13.196, 0, 0.0269, 142.413, 0.342], [0.493, 0.619, 0.325, 0.875, 9, 0.101, -12.557, 1, 0.134, 153.652, 0.4], [0.846, 0.428, 0.277, 0.0522, 2, 0.109, -14.821, 1, 0.0335, 143.024, 0.427], [0.992, 0.5, 0.0475, 0.569, 8, 0.128, -18.909, 1, 0.0931, 94.471, 0.0464], [0.991, 0.529, 0.111, 0.951, 0, 0.114, -19.143, 1, 0.0666, 73.503, 0.246], [0.808, 0.421, 0.0162, 0.0024, 2, 0.0978, -25.358, 0, 0.0388, 110.479, 0.154], [0.914, 0.166, 0.179, 0.871, 3, 0.0862, -11.741, 1, 0.0386, 65.81, 0.0372]]"
iso10,"[[4], [20], [13]]","[[0.942, 0.252, 0.314, 0.676, 5, 0.0892, -18.197, 0, 0.0407, 75.056, 0.2], [0.979, 0.676, 0.0812, 0.416, 2, 0.118, -22.846, 1, 0.0398, 125.053, 0.314], [0.91, 0.189, 0.304, 0.00239, 7, 0.081, -10.135, 0, 0.0314, 173.356, 0.0397], [0.905, 0.575, 0.146, 0, 9, 0.129, -15.141, 1, 0.0352, 127.049, 0.119], [0.768, 0.726, 0.185, 0, 11, 0.094, -12.096, 0, 0.0343, 124.136, 0.45], [0.0604, 0.607, 0.451, 0, 4, 0.19, -8.206, 1, 0.0286, 94.054, 0.676], [0.321, 0.677, 0.696, 0, 0, 0.42, -6.181, 1, 0.119, 90.03, 0.464], [0.672, 0.254, 0.38, 0, 4, 0.379, -13.806, 1, 0.0337, 168.496, 0.408], [0.556, 0.76, 0.479, 0, 2, 0.0703, -5.574, 1, 0.0466, 89.911, 0.913], [0.234, 0.751, 0.501, 0.112, 5, 0.0467, -12.151, 1, 0.0551, 167.057, 0.902]]"
iso03,"[[4], [5, 17]]","[[0.864, 0.0783, 0.206, 0.838, 2, 0.179, -20.611, 0, 0.0337, 80.341, 0.0807], [0.00722, 0.378, 0.663, 0.797, 1, 0.191, -10.476, 1, 0.0458, 173.136, 0.428], [0.892, 0.559, 0.33, 0, 9, 0.0975, -8.251, 1, 0.0285, 135.109, 0.285], [0.656, 0.643, 0.244, 0.771, 6, 0.11, -14.599, 0, 0.0342, 83.016, 0.104], [0.103, 0.645, 0.584, 0.927, 2, 0.101, -9.282, 1, 0.0331, 89.997, 0.251], [0.969, 0.303, 0.0861, 0.946, 10, 0.109, -20.265, 1, 0.0336, 135.452, 0.0401], [0.939, 0.105, 0.169, 0.828, 4, 0.107, -14.915, 1, 0.0347, 77.707, 0.0374], [0.0498, 0.631, 0.664, 0.00042, 6, 0.0696, -9.197, 1, 0.0242, 100.618, 0.407], [0.981, 0.221, 0.124, 2.06e-06, 10, 0.114, -19.49, 1, 0.0557, 78.871, 0.248], [0.214, 0.377, 0.464, 0.277, 9, 0.145, -8.259, 0, 0.0331, 172.088, 0.055]]"
iso04,"[[5, 7, 16], [5, 20, 15]]","[[0.166, 0.282, 0.342, 0.365, 1, 0.673, -12.263, 1, 0.0314, 132.388, 0.087], [0.518, 0.712, 0.408, 0.0112, 4, 0.0662, -12.569, 1, 0.0336, 141.998, 0.43], [0.923, 0.231, 0.228, 0.0129, 5, 0.169, -15.845, 0, 0.0337, 80.326, 0.224], [0.286, 0.614, 0.549, 2.64e-06, 5, 0.142, -6.986, 1, 0.0516, 77.926, 0.258], [0.909, 0.505, 0.107, 0, 9, 0.103, -9.303, 0, 0.0321, 126.49, 0.283], [0.938, 0.665, 0.287, 0.149, 8, 0.103, -14.923, 1, 0.04, 133.924, 0.386], [0.645, 0.465, 0.322, 0.000226, 7, 0.0977, -10.47, 1, 0.0279, 98.067, 0.084], [0.822, 0.65, 0.171, 0.000106, 2, 0.139, -11.172, 1, 0.037, 106.87, 0.195], [0.437, 0.595, 0.5, 0.251, 4, 0.202, -9.495, 1, 0.0354, 144.03, 0.3], [0.662, 0.41, 0.44, 0.0014, 10, 0.0663, -8.616, 1, 0.0307, 98.097, 0.304], [0.832, 0.352, 0.169, 0, 8, 0.243, -11.223, 1, 0.031, 129.133, 0.166], [0.812, 0.147, 0.14, 5.05e-05, 8, 0.0953, -15.178, 1, 0.0348, 172.408, 0.195], [0.716, 0.478, 0.241, 0.216, 2, 0.354, -17.122, 1, 0.0386, 75.285, 0.11], [0.89, 0.554, 0.235, 0.00328, 10, 0.114, -14.609, 1, 0.0342, 121.836, 0.232], [0.398, 0.579, 0.559, 0.000206, 1, 0.0817, -7.338, 1, 0.0325, 151.985, 0.328], [0.895, 0.583, 0.216, 0.645, 2, 0.102, -13.345, 1, 0.0324, 88.393, 0.173], [0.851, 0.59, 0.379, 0.000979, 4, 0.0799, -12.452, 1, 0.0329, 100.846, 0.138], [0.635, 0.582, 0.241, 0.00436, 9, 0.0867, -12.036, 1, 0.032, 137.839, 0.121], [0.835, 0.611, 0.313, 0.000315, 4, 0.111, -10.242, 1, 0.0339, 134.858, 0.378], [0.864, 0.596, 0.22, 0, 1, 0.102, -10.08, 1, 0.0332, 83.038, 0.251], [0.982, 0.532, 0.137, 0.962, 9, 0.112, -18.208, 1, 0.0717, 118.734, 0.301], [0.919, 0.438, 0.0247, 0.038, 9, 0.0909, -21.959, 1, 0.0467, 157.664, 0.245], [0.958, 0.533, 0.0954, 0.00388, 1, 0.106, -17.241, 0, 0.0474, 77.472, 0.276], [0.14, 0.623, 0.61, 0.0504, 5, 0.11, -9.092, 1, 0.0348, 80.01, 0.857], [0.939, 0.647, 0.0578, 0.00364, 1, 0.109, -16.8, 0, 0.041, 96.142, 0.271], [0.892, 0.401, 0.324, 1.1e-05, 9, 0.28, -10.243, 1, 0.0449, 133.676, 0.391], [0.789, 0.504, 0.189, 2.53e-06, 8, 0.163, -11.119, 1, 0.0292, 60.737, 0.231], [0.956, 0.35, 0.0149, 0.00119, 4, 0.0948, -22.905, 0, 0.0384, 116.412, 0.09], [0.93, 0.507, 0.266, 8.78e-05, 7, 0.0984, -10.328, 1, 0.0344, 126.231, 0.268]]"
iso07,"[[23], [9]]","[[0.872, 0.455, 0.39, 1.83e-05, 11, 0.0958, -11.886, 0, 0.0771, 102.785, 0.171], [0.587, 0.572, 0.406, 4.48e-06, 10, 0.102, -8.624, 1, 0.0427, 119.812, 0.265], [0.751, 0.501, 0.405, 0, 1, 0.105, -5.679, 1, 0.0319, 109.891, 0.446], [0.0362, 0.749, 0.439, 0.000389, 5, 0.103, -6.838, 1, 0.0422, 176.002, 0.288], [0.278, 0.589, 0.418, 0.000361, 5, 0.192, -7.456, 0, 0.0345, 137.87, 0.277], [0.556, 0.656, 0.722, 0, 0, 0.134, -4.726, 0, 0.0478, 90.097, 0.301], [0.183, 0.878, 0.525, 0, 5, 0.0714, -6.832, 1, 0.0578, 112.022, 0.694], [0.321, 0.817, 0.634, 0, 5, 0.0735, -7.246, 1, 0.162, 138.015, 0.453], [0.0112, 0.746, 0.765, 0, 6, 0.0936, -4.41, 0, 0.0993, 114.044, 0.737], [0.021, 0.672, 0.855, 0, 9, 0.323, -3.764, 1, 0.0397, 123.056, 0.646]]"
iso05,"[[14], [6]]","[[0.93, 0.628, 0.179, 0.000309, 1, 0.188, -16.179, 1, 0.0328, 126.967, 0.226], [0.74, 0.345, 0.193, 4.2e-06, 6, 0.117, -10.236, 0, 0.0328, 77.547, 0.268], [0.846, 0.712, 0.217, 5.61e-05, 7, 0.265, -12.944, 1, 0.0813, 136.986, 0.468], [0.201, 0.657, 0.569, 1.38e-05, 2, 0.126, -6.287, 1, 0.0542, 102.054, 0.399], [0.84, 0.577, 0.397, 0, 0, 0.0772, -5.98, 1, 0.028, 89.044, 0.509], [0.652, 0.388, 0.338, 3.73e-06, 10, 0.248, -10.054, 1, 0.0329, 177.765, 0.478], [0.0279, 0.507, 0.767, 0, 5, 0.474, -6.558, 1, 0.0323, 79.97, 0.632], [0.479, 0.716, 0.576, 0, 9, 0.0958, -5.59, 1, 0.0617, 128.962, 0.676], [0.158, 0.679, 0.768, 2.06e-06, 0, 0.138, -4.241, 1, 0.0395, 128.042, 0.845], [0.207, 0.709, 0.824, 0.000307, 1, 0.0888, -8.824, 1, 0.0453, 118.818, 0.867]]"
iso11,"[[21], [24], [28]]","[[0.92, 0.587, 0.229, 0, 10, 0.1, -11.254, 0, 0.128, 75.67, 0.379], [0.952, 0.379, 0.29, 0.00106, 4, 0.118, -8.485, 1, 0.051, 166.467, 0.169], [0.864, 0.531, 0.192, 0.00133, 5, 0.126, -11.786, 1, 0.0393, 73.337, 0.384], [0.698, 0.641, 0.324, 0, 11, 0.328, -5.851, 1, 0.0299, 110.184, 0.273], [0.645, 0.437, 0.301, 0, 0, 0.117, -8.519, 1, 0.0384, 126.016, 0.203], [0.406, 0.562, 0.375, 8.8e-05, 2, 0.0929, -8.48, 1, 0.0251, 91.671, 0.215], [0.786, 0.634, 0.394, 1.06e-06, 6, 0.127, -11.976, 1, 0.0493, 147.791, 0.711], [0.0432, 0.216, 0.428, 0, 4, 0.102, -7.742, 1, 0.0362, 128.298, 0.168], [0.00488, 0.528, 0.749, 9.6e-05, 7, 0.0949, -7.571, 1, 0.0479, 163.944, 0.729], [0.0549, 0.564, 0.714, 0, 7, 0.155, -4.987, 1, 0.129, 175.924, 0.33]]"
